Date,Event,Event Info,Outbound,contact_id
11/7/2019 8:07:31 AM,20103,,15,43
11/7/2019 8:07:32 AM,20103,,15,174
11/7/2019 8:07:33 AM,20103,,15,309
11/7/2019 8:07:33 AM,20103,,15,432
11/7/2019 8:07:34 AM,20103,,15,468
11/7/2019 8:07:35 AM,20103,,15,546
11/7/2019 8:07:36 AM,20103,,15,610
11/7/2019 8:07:36 AM,20103,,15,786
11/7/2019 8:07:36 AM,20103,,15,685
11/7/2019 8:07:37 AM,20103,,15,977
11/7/2019 8:07:36 AM,20103,,15,36
11/7/2019 8:07:39 AM,20103,,15,1135
11/7/2019 8:07:40 AM,20103,,15,1088
11/7/2019 8:07:41 AM,20103,,15,1250
11/7/2019 8:07:41 AM,20103,,15,1398
11/7/2019 8:07:42 AM,20103,,15,1469
11/7/2019 8:07:42 AM,20103,,15,1240
11/7/2019 8:07:43 AM,20103,,15,1429
11/7/2019 8:07:43 AM,20103,,15,2165
11/7/2019 8:07:44 AM,20103,,15,2166
11/7/2019 8:07:44 AM,20103,,15,2607
11/7/2019 8:07:44 AM,20103,,15,2185
11/7/2019 8:07:46 AM,20103,,15,1333
11/7/2019 8:07:45 AM,20103,,15,2165
11/7/2019 8:07:45 AM,20103,,15,2334
11/7/2019 8:07:46 AM,20103,,15,2165
11/7/2019 8:07:47 AM,20103,,15,2767
11/7/2019 8:07:48 AM,20103,,15,519
11/7/2019 8:07:48 AM,20103,,15,3060
11/7/2019 8:07:49 AM,20103,,15,4122
11/7/2019 8:07:49 AM,20103,,15,3150
11/7/2019 8:07:51 AM,20103,,15,3346
11/7/2019 8:07:51 AM,20103,,15,1135
11/7/2019 8:07:51 AM,20103,,15,3543
11/7/2019 8:07:56 AM,20103,,15,5327
11/7/2019 8:07:56 AM,20103,,15,2166
11/7/2019 8:07:57 AM,20103,,15,4795
11/7/2019 8:07:57 AM,20103,,15,5112
11/7/2019 8:07:58 AM,20103,,15,5430
11/7/2019 8:07:59 AM,20103,,15,5171
11/7/2019 8:08:00 AM,20103,,15,1969
11/7/2019 8:08:00 AM,20103,,15,5171
11/7/2019 8:08:00 AM,20103,,15,5179
11/7/2019 8:08:01 AM,20103,,15,5549
11/7/2019 8:08:02 AM,20103,,15,5610
11/7/2019 8:08:03 AM,20103,,15,6413
11/7/2019 8:08:03 AM,20103,,15,3470
11/7/2019 8:08:04 AM,20103,,15,6314
11/7/2019 8:08:04 AM,20103,,15,5687
11/7/2019 8:08:04 AM,20103,,15,6120
11/7/2019 8:08:04 AM,20103,,15,5757
11/7/2019 8:08:05 AM,20103,,15,6708
11/7/2019 8:08:06 AM,20103,,15,6120
11/7/2019 8:08:05 AM,20103,,15,5463
11/7/2019 8:08:05 AM,20103,,15,6414
11/7/2019 8:08:06 AM,20103,,15,5911
11/7/2019 8:08:07 AM,20103,,15,7187
11/7/2019 8:08:08 AM,20103,,15,7613
11/7/2019 8:08:08 AM,20103,,15,7099
11/7/2019 8:08:08 AM,20103,,15,5430
11/7/2019 8:08:09 AM,20103,,15,7212
11/7/2019 8:08:09 AM,20103,,15,3993
11/7/2019 8:08:09 AM,20103,,15,6788
11/7/2019 8:08:10 AM,20103,,15,6627
11/7/2019 8:08:10 AM,20103,,15,6643
11/7/2019 8:08:10 AM,20103,,15,3150
11/7/2019 8:08:10 AM,20103,,15,1041
11/7/2019 8:08:11 AM,20103,,15,8040
11/7/2019 8:08:11 AM,20103,,15,3576
11/7/2019 8:08:11 AM,20103,,15,6622
11/7/2019 8:08:12 AM,20103,,15,8146
11/7/2019 8:08:12 AM,20103,,15,4386
11/7/2019 8:08:12 AM,20103,,15,5418
11/7/2019 8:08:13 AM,20103,,15,6120
11/7/2019 8:08:14 AM,20103,,15,8739
11/7/2019 8:08:14 AM,20103,,15,7575
11/7/2019 8:08:15 AM,20103,,15,8370
11/7/2019 8:08:17 AM,20103,,15,8972
11/7/2019 8:08:18 AM,20103,,15,8680
11/7/2019 8:08:18 AM,20103,,15,8396
11/7/2019 8:08:18 AM,20103,,15,4705
11/7/2019 8:08:19 AM,20103,,15,6816
11/7/2019 8:08:20 AM,20103,,15,6505
11/7/2019 8:08:22 AM,20103,,15,5759
11/7/2019 8:08:23 AM,20103,,15,5549
11/7/2019 8:08:26 AM,20103,,15,10672
11/7/2019 8:08:29 AM,20103,,15,2800
11/7/2019 8:08:30 AM,20103,,15,10698
11/7/2019 8:08:33 AM,20103,,15,11838
11/7/2019 8:08:34 AM,20103,,15,9776
11/7/2019 8:08:35 AM,20103,,15,12246
